product_name,sales
"Situations Contoured Folding Chairs, 4/Set",2321.0460000000003
DMI Arturo Collection Mission-style Design Wood Chair,2204.308
Fellowes Officeware Wire Shelving,2155.92
Space Solutions HD Industrial Steel Shelving.,2069.46
Easy-staple paper,2047.0919999999999
Carina Double Wide Media Storage Towers in Natural & Black,2040.696
"Padded Folding Chairs, Black, 4/Carton",1830.148
AT&T 1080 Corded phone,1780.8700000000001
Bevis Steel Folding Chairs,1775.075
Sensible Storage WireTech Storage Systems,1746.108
